00:18:0a:04:16:a0,00:18:0a:27:cf:e2,33
00:18:0a:04:16:5e,00:18:0a:15:e6:c0,22
00:18:0a:14:e2:b0,00:18:0a:15:b2:40,222
00:18:0a:13:b2:50,00:18:0a:15:22:20,5
00:18:0a:15:25:b0,00:18:0a:15:65:90,3301
00:18:0a:27:cf:e2,00:18:0a:15:5f:b0,41
00:18:0a:15:e6:c0,00:18:0a:15:22:40,637
00:18:0a:13:b2:50,00:18:0a:15:ba:f0,1
00:18:0a:04:5d:a4,00:18:0a:15:b9:30,62
00:18:0a:15:5f:b0,00:18:0a:15:65:90,207
00:18:0a:15:22:40,00:18:0a:13:b2:50,58
00:18:0a:15:dc:00,00:18:0a:15:65:c0,2580
00:18:0a:15:ba:f0,00:18:0a:04:5d:42,8
00:18:0a:13:b6:90,00:18:0a:15:2e:b0,3
00:18:0a:14:de:f0,00:18:0a:13:1e:e0,10
00:18:0a:21:8a:5a,00:18:0a:22:56:92,29
00:18:0a:15:67:c0,00:18:0a:21:e5:19,1
00:18:0a:14:de:f0,00:18:0a:14:e2:b0,1417
00:18:0a:15:58:b0,00:18:0a:14:de:f0,24
00:18:0a:27:cf:e2,00:18:0a:15:bb:a0,34
00:18:0a:04:16:a0,00:18:0a:04:6d:c4,37
00:18:0a:15:67:60,00:18:0a:27:cf:e2,23
00:18:0a:14:f4:c0,00:18:0a:15:e6:c0,1227
00:18:0a:15:e6:c0,00:18:0a:04:5d:96,47
00:18:0a:15:ba:f0,00:18:0a:15:b9:30,176
00:18:0a:15:e6:c0,00:18:0a:04:4b:1c,31
00:18:0a:15:25:90,00:18:0a:14:f8:e0,2606
00:18:0a:15:b2:40,00:18:0a:04:4b:1c,10
00:18:0a:13:b2:50,00:18:0a:15:dc:00,1
00:18:0a:21:e5:19,00:18:0a:22:56:86,298
00:18:0a:15:e6:c0,00:18:0a:14:f8:e0,442
00:18:0a:22:56:92,00:18:0a:33:2e:f2,2
00:18:0a:15:0d:70,00:18:0a:15:aa:30,100
00:18:0a:15:67:60,00:18:0a:14:f4:c0,481
00:18:0a:15:2e:b0,00:18:0a:13:bd:60,16
00:18:0a:04:5d:42,00:18:0a:15:22:20,7
00:18:0a:15:b9:30,00:18:0a:a1:9f:60,8
00:18:0a:15:da:d0,00:18:0a:15:25:b0,463
00:18:0a:13:1e:e0,00:18:0a:15:22:20,43
00:18:0a:21:8d:14,00:18:0a:21:8d:14,55595
00:18:0a:15:dc:00,00:18:0a:14:f9:d0,4045
00:18:0a:04:5d:52,00:18:0a:04:5d:52,59269
00:18:0a:13:1e:e0,00:18:0a:04:5d:94,147
00:18:0a:14:f4:c0,00:18:0a:04:5d:94,11
00:18:0a:15:22:40,00:18:0a:15:b2:40,3121
00:18:0a:15:bb:a0,00:18:0a:14:de:f0,1673
00:18:0a:15:25:b0,00:18:0a:15:58:b0,85
